table,column,count,unique,top,freq,mean,std,min,25%,50%,75%,max,stage
df_players_profile,on_loan_from_club_id,115.0,,,,2345.791304347826,8085.2432022960575,5.0,171.0,430.0,1048.0,73883.0,filtered
df_players_profile,on_loan_from_club_name,115,71,SSC Napoli,6,,,,,,,,filtered
df_players_profile,contract_there_expires,104,9,2027-06-30,41,,,,,,,,filtered
df_players_profile,second_club_url,39,25,/borussia-dortmund-ii/startseite/verein/17,4,,,,,,,,filtered
df_players_profile,second_club_name,39,37,SV Werder Bremen II,3,,,,,,,,filtered
df_players_profile,third_club_url,3,3,/fc-bayern-munchen-uefa-u19/startseite/verein/41585,1,,,,,,,,filtered
df_players_profile,third_club_name,3,3,Bayern Munich UEFA U19,1,,,,,,,,filtered
df_players_profile,fourth_club_url,0,0,,,,,,,,,,filtered
df_players_profile,fourth_club_name,0,0,,,,,,,,,,filtered
df_players_profile,date_of_death,0,0,,,,,,,,,,filtered
df_player_injured,player_id,14818.0,,,,362673.77014441893,211457.27248838055,3333.0,199321.0,338425.0,485584.0,1193867.0,filtered
df_player_injured,season_name,14818,18,24/25,2883,,,,,,,,filtered
df_player_injured,injury_reason,14818,290,unknown injury,1109,,,,,,,,filtered
df_player_injured,from_date,14817,3178,2022-10-10,28,,,,,,,,filtered
df_player_injured,end_date,14695,3145,2025-06-30,50,,,,,,,,filtered
df_player_injured,days_missed,14817.0,,,,34.5441722345954,50.46428830221806,1.0,8.0,17.0,37.0,686.0,filtered
df_player_injured,games_missed,14818.0,,,,5.247604265083007,7.478355259788407,0.0,1.0,3.0,6.0,122.0,filtered
df_player_performance,player_id,72739.0,,,,401287.1355393943,248185.45243241484,3333.0,203853.0,357164.0,555076.0,1390649.0,filtered
df_player_performance,season_name,72739,46,24/25,8108,,,,,,,,filtered
df_player_performance,competition_id,72739,856,CL,3264,,,,,,,,filtered
df_player_performance,competition_name,72739,1012,UEFA Champions League,3126,,,,,,,,filtered
df_player_performance,team_id,72739.0,,,,5083.35011479399,11263.56264676879,1.0,273.0,800.0,3938.0,120038.0,filtered
df_player_performance,team_name,72739,2433,Manchester City,881,,,,,,,,filtered
df_player_performance,nb_in_group,72739.0,,,,10.468799406095767,11.865605642796723,1.0,2.0,4.0,17.0,46.0,filtered
df_player_performance,nb_on_pitch,72739.0,,,,8.573433783802361,10.714226043583123,0.0,1.0,3.0,12.0,46.0,filtered
df_player_performance,goals,65902.0,,,,1.1442596582804772,2.6357947378491473,0.0,0.0,0.0,1.0,41.0,filtered
df_player_performance,assists,72739.0,,,,0.7047388608586865,1.6315346827533275,0.0,0.0,0.0,1.0,26.0,filtered
df_player_performance,own_goals,72739.0,,,,0.01745968462585408,0.13842790116287076,0.0,0.0,0.0,0.0,4.0,filtered
df_player_performance,subed_in,72739.0,,,,1.7104854342237314,3.259881377215753,0.0,0.0,0.0,2.0,35.0,filtered
df_player_performance,subed_out,72739.0,,,,2.023646187052338,3.7405353234545955,0.0,0.0,0.0,2.0,34.0,filtered
df_player_performance,yellow_cards,72739.0,,,,1.089360590604765,1.9258689789143024,0.0,0.0,0.0,1.0,19.0,filtered
df_player_performance,second_yellow_cards,72739.0,,,,0.027261854026038302,0.17124133917432674,0.0,0.0,0.0,0.0,4.0,filtered
df_player_performance,direct_red_cards,72739.0,,,,0.026698194916069784,0.1691090573090253,0.0,0.0,0.0,0.0,4.0,filtered
df_player_performance,penalty_goals,72739.0,,,,0.07953092563824084,0.4709218101229268,0.0,0.0,0.0,0.0,14.0,filtered
df_player_performance,minutes_played,30744.0,,,,622.1243494665625,753.5911737009998,1.0,162.0,309.0,726.0,4140.0,filtered
df_player_performance,goals_conceded,72739.0,,,,1.1504144956625744,5.840892352015156,0.0,0.0,0.0,0.0,82.0,filtered
df_player_performance,clean_sheets,72739.0,,,,0.29186543669833237,1.5696750964525448,0.0,0.0,0.0,0.0,29.0,filtered
df_player_market_values,player_id,2658.0,,,,512741.46914973663,278930.5130391007,3333.0,295923.75,480057.5,699251.0,1390649.0,filtered
df_player_market_values,date_unix,2658,32,2025-06-16,440,,,,,,,,filtered
df_player_market_values,value,2658.0,,,,11477864.936042137,17961090.187145337,0.0,1500000.0,5000000.0,15000000.0,200000000.0,filtered
